nombre,archetype,detected_archetype,health_score,issue_count,review_priority,inconsistencies,review_flags,prefs,tags,explicacion_preview,suggested_archetype,suggest_reason
Ambia,asian_fusion_premium,casual_dining,100.0,0,94.4,,arquetipo asignado (asian_fusion_premium) != detectado (casual_dining),"asian_fusion=10
aventurero=9
trendy=9
premium=8
social_grupo=8
elegant=7
gourmet=7
lively=7
slow_food=7
romantic=6
comfort_food=5
nightlife=5",asiatico | aventurero | trendy | premium | socialgrupo | gourmet,"Ambia destacaria por: asian fusion, aventurero, trendy.",,
Saúl,cafe_brunch,casual_dining,100.0,0,94.4,,arquetipo asignado (cafe_brunch) != detectado (casual_dining),"coffee_culture=10
aesthetic=9
brunch=9
casual=8
social_grupo=8
trendy=8
aventurero=7
comfort_food=7
lively=7
saludable=6
romantic=5
premium=4",coffee | brunch | aesthetic | casual | socialgrupo | trendy,"Saúl encaja con perfiles cafe/brunch: coffee culture, ambiente casual.",,
Los Tres Tiempos,guatemalteca_signature,casual_dining,100.0,0,93.3,,arquetipo asignado (guatemalteca_signature) != detectado (casual_dining),"pref_guatemalteca=10
comfort_food=8
family_friendly=8
gourmet=8
premium=8
slow_food=7
social_grupo=7
elegant=6
lively=6
aventurero=5
romantic=5",guatemalteca | premium | gourmet | comfortfood | familyfriendly | slowfood,"Los Tres Tiempos destacaria por: pref guatemalteca, premium, gourmet.",,
Kaffeine,cafe_brunch,cafe_brunch,100.0,0,92.9,,,"coffee_culture=10
brunch=9
aesthetic=8
casual=8
comfort_food=8
social_grupo=8
aventurero=7
lively=6
saludable=6
trendy=6
premium=4",coffee | brunch | aesthetic | casual | socialgrupo | comfortfood,"Kaffeine encaja con perfiles cafe/brunch: coffee culture, ambiente casual.",,
Shiro,japanese_premium,premium_fine,100.0,0,91.8,,arquetipo asignado (japanese_premium) != detectado (premium_fine),"pref_japonesa=10
premium=10
gourmet=9
elegant=8
exclusive=8
aventurero=7
business_dining=7
romantic=7
social_grupo=6
trendy=6",japonesa | premium | gourmet | elegant | exclusive | businessdining,"Shiro destacaria por: pref japonesa, premium, gourmet.",,
Frida Kahlo,mexican_signature,casual_dining,100.0,0,91.4,,arquetipo asignado (mexican_signature) != detectado (casual_dining),"pref_mexicana=10
trendy=9
aesthetic=8
lively=8
social_grupo=8
aventurero=7
comfort_food=7
premium=7
nightlife=6
romantic=5",mexicana | trendy | lively | aesthetic | socialgrupo | premium,"Frida Kahlo destacaria por: pref mexicana, trendy, lively.",,
Chili's,american_casual_chain,casual_dining,100.0,0,89.8,,arquetipo asignado (american_casual_chain) != detectado (casual_dining),"casual=8
comfort_food=8
family_friendly=8
social_grupo=8
fast_service=7
lively=6",comfortfood | familyfriendly | casual | socialgrupo | fastservice | lively,"Chili's destacaria por: comfort food, family friendly, casual.",,
Mercado 24,fusion_premium,fusion_premium,100.0,0,89.5,,,"trendy=10
aventurero=9
gourmet=9
social_grupo=9
aesthetic=8
lively=8
nightlife=8
premium=7
comfort_food=6",trendy | gourmet | aventurero | socialgrupo | aesthetic | lively,"Mercado 24 encaja con perfiles exploradores/trendy: fusion, social, aventura.",,
Monoloco,nightlife_social,nightlife_social,100.0,0,89.5,,,"lively=9
nightlife=9
social_grupo=9
craft_beer=8
casual=7
comfort_food=7
trendy=7
aventurero=6
premium=6",nightlife | lively | socialgrupo | craftbeer | trendy | comfortfood,"Monoloco destacaria por: nightlife, lively, social grupo.",,
San Martin,cafe_brunch,cafe_brunch,100.0,0,89.5,,,"coffee_culture=10
comfort_food=9
family_friendly=9
brunch=8
casual=8
social_grupo=8
aesthetic=7
lively=7
saludable=6",coffee | familyfriendly | comfortfood | brunch | casual | socialgrupo,"San Martin encaja con perfiles cafe/brunch: coffee culture, ambiente casual.",,
Hard Rock Cafe,nightlife_social,nightlife_social,100.0,0,88.7,,,"nightlife=9
social_grupo=9
comfort_food=8
lively=8
casual=7
craft_beer=7
trendy=7
premium=6
aventurero=5",nightlife | socialgrupo | lively | comfortfood | craftbeer | trendy,"Hard Rock Cafe destacaria por: nightlife, social grupo, lively.",,
Olive Garden,italian_casual,italian_casual,100.0,0,85.3,,,"pref_italiana=10
casual=8
comfort_food=8
family_friendly=8
fast_service=7
social_grupo=7
lively=6",italiana | casual | familyfriendly | comfortfood | fastservice | socialgrupo,"Olive Garden destacaria por: pref italiana, casual, family friendly.",,
Wok to Walk,asian_fast_casual,asian_fast_casual,100.0,0,77.8,,,"fast_food=10
fast_service=10
quick_meal=10
asian_fusion=9
casual=9
comida_rapida=9
comfort_food=7
street_food=7
family_friendly=6
social_grupo=5",quickmeal | fastservice | fastfood | asiatico | casual | china,"Wok to Walk encaja con perfiles asiatico rapido/casual: quick meal, asian fusion, sin premium ni italiano.",,
China Wok,asian_fast_casual,asian_fast_casual,100.0,0,77.4,,,"asian_fusion=10
fast_food=10
quick_meal=10
casual=9
comida_rapida=9
fast_service=9
comfort_food=8
family_friendly=6
social_grupo=6
lively=5",asiatico | quickmeal | fastfood | fastservice | casual | china,"China Wok encaja con perfiles asiatico rapido/casual: quick meal, asian fusion, sin premium ni italiano.",,
Wendy's,fast_food,fast_food,100.0,0,62.5,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=7
social_grupo=6
lively=5",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Wendy's encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
Gracia Cocina de Autor,premium_fine,premium_fine,100.0,0,54.8,,,"gourmet=10
premium=10
exclusive=9
pref_guatemalteca=9
aventurero=8
elegant=8
comfort_food=7
romantic=7
slow_food=7
trendy=7
wine_focus=7
social_grupo=5",premium | gourmet | exclusive | guatemalteca | elegant | aventurero,"Gracia Cocina de Autor destacaria por: premium, gourmet, exclusive.",,
Marena,mediterranean_premium,premium_fine,100.0,0,54.8,,arquetipo asignado (mediterranean_premium) != detectado (premium_fine),"pref_mediterranea=10
premium=9
saludable=9
elegant=8
gourmet=8
romantic=7
slow_food=7
aventurero=6
comfort_food=6
social_grupo=6
lively=5
trendy=5",prefmediterranea | saludable | premium | gourmet | elegant | slowfood,"Marena destacaria por: pref mediterranea, saludable, premium.",,
Porcino,steakhouse_premium,steakhouse_premium,100.0,0,54.8,,,"gourmet=9
premium=9
business_dining=8
contundente=8
elegant=8
social_grupo=6
wine_focus=6
comfort_food=5
lively=5
romantic=5",premium | gourmet | businessdining | contundente | elegant | winefocus,"Porcino destacaria por: premium, gourmet, business dining.",,
P.F. Chang's,asian_fusion_premium,casual_dining,100.0,0,53.6,,arquetipo asignado (asian_fusion_premium) != detectado (casual_dining),"asian_fusion=10
aventurero=9
business_dining=8
casual=8
premium=8
social_grupo=8
trendy=8
gourmet=7
comfort_food=6
lively=6",asiatico | aventurero | premium | trendy | socialgrupo | businessdining,"P.F. Chang's destacaria por: asian fusion, aventurero, premium.",,
Atempo,premium_fine,premium_fine,100.0,0,53.3,,,"gourmet=10
premium=10
exclusive=9
romantic=9
elegant=8
aventurero=7
intimate=7
wine_focus=7
trendy=6
comfort_food=5
social_grupo=5",premium | gourmet | exclusive | romantic | elegant | winefocus,"Atempo destacaria por: premium, gourmet, exclusive.",,
Sublime,premium_fine,premium_fine,100.0,0,53.3,,,"premium=10
gourmet=9
romantic=9
elegant=8
exclusive=8
wine_focus=8
aventurero=7
intimate=7
trendy=6
comfort_food=5
social_grupo=5",premium | gourmet | romantic | exclusive | elegant | winefocus,"Sublime destacaria por: premium, gourmet, romantic.",,
Barista,cafe_brunch,cafe_brunch,100.0,0,52.1,,,"coffee_culture=10
trendy=9
aesthetic=8
brunch=8
casual=8
social_grupo=8
comfort_food=7
aventurero=6
lively=6
saludable=6
premium=4",coffee | trendy | brunch | aesthetic | casual | socialgrupo,"Barista encaja con perfiles cafe/brunch: coffee culture, ambiente casual.",,
Cafe Leon,cafe_brunch,cafe_brunch,100.0,0,50.2,,,"coffee_culture=10
comfort_food=9
brunch=8
casual=8
family_friendly=8
aesthetic=7
slow_food=7
saludable=6
social_grupo=6
lively=5",coffee | comfortfood | brunch | casual | familyfriendly | aesthetic,"Cafe Leon encaja con perfiles cafe/brunch: coffee culture, ambiente casual.",,
Tip Top,guatemalteca_fast,guatemalteca_fast,100.0,0,49.8,,,"pref_guatemalteca=10
family_friendly=9
fast_service=9
quick_meal=9
casual=8
comfort_food=8
comida_rapida=8
fast_food=8
social_grupo=7
lively=6",guatemalteca | fastservice | americana | familyfriendly | quickmeal | fastfood,"Tip Top destacaria por: pref guatemalteca, fast service, family friendly.",,
Dunkin,cafe_brunch,cafe_brunch,100.0,0,49.4,,,"coffee_culture=10
fast_service=9
quick_meal=9
brunch=8
casual=8
comfort_food=8
aesthetic=7
family_friendly=7
saludable=6
social_grupo=5",coffee | quickmeal | fastservice | brunch | casual | comfortfood,"Dunkin encaja con perfiles cafe/brunch: coffee culture, ambiente casual.",,
Taco Bell,fast_food,fast_food,100.0,0,49.0,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
pref_mexicana=9
comfort_food=8
family_friendly=7
social_grupo=6
lively=5",fastfood | quickmeal | americana | fastservice | casual | mexicana,"Taco Bell encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
Pizza Hut,fast_food,fast_food,100.0,0,47.9,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=8
social_grupo=7
lively=6",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Pizza Hut encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
Domino's Pizza,fast_food,fast_food,100.0,0,47.5,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=8
social_grupo=6
lively=5",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Domino's Pizza encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
KFC,fast_food,fast_food,100.0,0,47.5,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=8
social_grupo=7
lively=6",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"KFC encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
Little Caesars,fast_food,fast_food,100.0,0,47.5,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=8
social_grupo=6
lively=5",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Little Caesars encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
Papa John's,fast_food,fast_food,100.0,0,47.5,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=8
social_grupo=6
lively=5",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Papa John's encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
Subway,fast_food,fast_food,100.0,0,47.5,,,"comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
saludable=9
comfort_food=8
family_friendly=7
social_grupo=6",fastfood | quickmeal | americana | fastservice | casual | saludable,"Subway encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet.",,
De Cero,healthy_casual,healthy_casual,100.0,0,47.2,,,"saludable=10
fast_service=9
quick_meal=9
aesthetic=8
casual=8
comfort_food=6
aventurero=5
social_grupo=5",saludable | fastservice | quickmeal | casual | aesthetic | comfortfood,"De Cero destacaria por: saludable, fast service, quick meal.",,
Los Cebollines,mexican_casual_chain,casual_dining,100.0,0,44.2,,arquetipo asignado (mexican_casual_chain) != detectado (casual_dining),"pref_mexicana=10
fast_service=9
quick_meal=9
casual=8
comfort_food=8
family_friendly=8
social_grupo=7
lively=6",mexicana | fastservice | quickmeal | familyfriendly | comfortfood | casual,"Los Cebollines destacaria por: pref mexicana, fast service, quick meal.",,
Bottega Foresto,italian_premium,italian_premium,100.0,0,42.8,,,"pref_italiana=10
aesthetic=9
premium=9
trendy=9
aventurero=8
slow_food=8
wine_focus=8
business_dining=7
elegant=7
romantic=7
social_grupo=7
comfort_food=6
lively=6
nightlife=5",italiana | premium | trendy | aesthetic | slowfood | winefocus,"Bottega Foresto encaja con perfiles italianos premium: cocina italiana, cenas especiales.",,
Nikkei,asian_fusion_premium,casual_dining,100.0,0,42.0,,arquetipo asignado (asian_fusion_premium) != detectado (casual_dining),"asian_fusion=10
aventurero=9
trendy=9
premium=8
elegant=7
gourmet=7
slow_food=7
social_grupo=7
lively=6
comfort_food=5
nightlife=5
romantic=5",asiatico | aventurero | trendy | premium | gourmet | socialgrupo,"Nikkei destacaria por: asian fusion, aventurero, trendy.",,
Sarita,cafe_brunch,cafe_brunch,100.0,0,41.6,,,"coffee_culture=10
family_friendly=9
brunch=8
casual=8
comfort_food=8
aesthetic=7
slow_food=7
social_grupo=7
lively=6
saludable=6",coffee | familyfriendly | brunch | casual | comfortfood | aesthetic,"Sarita encaja con perfiles cafe/brunch: coffee culture, ambiente casual.",,
Estacion Santo Domingo,fusion_premium,casual_dining,100.0,0,40.5,,arquetipo asignado (fusion_premium) != detectado (casual_dining),"gourmet=9
trendy=9
aesthetic=8
aventurero=8
elegant=8
premium=8
romantic=8
social_grupo=8
wine_focus=8
intimate=7
slow_food=7
comfort_food=6
lively=5",gourmet | trendy | aventurero | aesthetic | socialgrupo | premium,"Estacion Santo Domingo encaja con perfiles exploradores/trendy: fusion, social, aventura.",,
Saint Honore,french_bistro,casual_dining,100.0,0,40.5,,arquetipo asignado (french_bistro) != detectado (casual_dining),"aesthetic=8
elegant=8
gourmet=8
premium=8
comfort_food=7
family_friendly=7
romantic=7
slow_food=7
wine_focus=7
aventurero=6
social_grupo=6
lively=5
trendy=5",gourmet | elegant | premium | aesthetic | winefocus | romantic,"Saint Honore destacaria por: gourmet, elegant, premium.",,
Paligo,fusion_premium,casual_dining,100.0,0,40.1,,arquetipo asignado (fusion_premium) != detectado (casual_dining),"gourmet=9
trendy=9
aesthetic=8
aventurero=8
business_dining=8
elegant=8
premium=8
social_grupo=8
wine_focus=8
slow_food=7
comfort_food=5
lively=5
romantic=5",gourmet | trendy | aventurero | aesthetic | socialgrupo | premium,"Paligo encaja con perfiles exploradores/trendy: fusion, social, aventura.",,
