id,nombre,archetype,detected_archetype,archetype_override,cocina,price_tier,zonas_disponibles,prefs,tags,descripcion,website,health_score,explicacion_preview
cn_chili_s,Chili's,american_casual_chain,casual_dining,,Internacional,casual,"Zona 10, Zona 14, Zona 16","casual=8
comfort_food=8
family_friendly=8
social_grupo=8
fast_service=7
lively=6",comfortfood | familyfriendly | casual | socialgrupo | fastservice | lively,"Cadena americana con burgers, ribs y ambiente familiar. Disponible en: Zona 10, Zona 14, Zona 16.",https://www.chilis.com/,100.0,"Chili's destacaria por: comfort food, family friendly, casual."
cn_china_wok,China Wok,asian_fast_casual,asian_fast_casual,asian_fast_casual,Asiatica,economico,"Zona 10, Zona 11","asian_fusion=10
fast_food=10
quick_meal=10
casual=9
comida_rapida=9
fast_service=9
comfort_food=8
family_friendly=6
social_grupo=6
lively=5",asiatico | quickmeal | fastfood | fastservice | casual | china,"Comida china rapida y accesible. Disponible en: Zona 10, Zona 11.",,100.0,"China Wok encaja con perfiles asiatico rapido/casual: quick meal, asian fusion, sin premium ni italiano."
cn_cielito_lindo,Cielito Lindo,mexican_casual_chain,casual_dining,,Mexicana,casual,Zona 10,"pref_mexicana=10
casual=8
comfort_food=8
family_friendly=8
fast_service=8
quick_meal=7
slow_food=7
social_grupo=7
lively=6",mexicana | familyfriendly | comfortfood | fastservice | casual | quickmeal,Comida mexicana tradicional en ambiente colorido.,,100.0,"Cielito Lindo destacaria por: pref mexicana, family friendly, comfort food."
cn_cinnabon,Cinnabon,cafe_brunch,cafe_brunch,,Cafe,economico,Zona 16,"coffee_culture=10
fast_service=9
quick_meal=9
brunch=8
casual=8
comfort_food=8
family_friendly=8
aesthetic=7
saludable=6
social_grupo=5",coffee | quickmeal | fastservice | brunch | casual | comfortfood,Rollos de canela y cafe en Cayala.,,100.0,"Cinnabon encaja con perfiles cafe/brunch: coffee culture, ambiente casual."
cn_comida_china_moon,Comida China Moon,asian_fast_casual,casual_dining,,Asiatica,economico,"Zona 10, Zona 11","asian_fusion=9
casual=9
comida_rapida=9
fast_service=9
quick_meal=9
comfort_food=8
family_friendly=8
social_grupo=7
lively=6",asiatico | quickmeal | fastservice | casual | comfortfood | china,"Comida china buffet reconocida en Guatemala. Disponible en: Zona 10, Zona 11.",,100.0,"Comida China Moon encaja con perfiles asiatico rapido/casual: quick meal, asian fusion, sin premium ni italiano."
cn_de_cero,De Cero,healthy_casual,healthy_casual,,Saludable,casual,"Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5","saludable=10
fast_service=9
quick_meal=9
aesthetic=8
casual=8
comfort_food=6
aventurero=5
social_grupo=5",saludable | fastservice | quickmeal | casual | aesthetic | comfortfood,"Cadena de ensaladas y bowls personalizables. Disponible en: Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5.",,100.0,"De Cero destacaria por: saludable, fast service, quick meal."
cn_del_griego,Del Griego,mediterranean_premium,casual_dining,,Mediterranea,premium,Zona 10,"pref_mediterranea=10
saludable=9
elegant=8
premium=8
gourmet=7
slow_food=7
comfort_food=6
romantic=6
social_grupo=6
aventurero=5
lively=5",prefmediterranea | saludable | premium | elegant | gourmet | slowfood,Sabores mediterraneos con fuerte identidad griega.,,100.0,"Del Griego destacaria por: pref mediterranea, saludable, premium."
cn_del_principe,Del Principe,italian_premium,italian_premium,,Italiana,premium,Zona 14,"pref_italiana=10
elegant=8
premium=8
romantic=8
slow_food=8
wine_focus=8
business_dining=7
intimate=7
comfort_food=6
social_grupo=5",italiana | slowfood | winefocus | romantic | premium | elegant,Cocina italiana clasica con ambiente refinado.,,100.0,"Del Principe encaja con perfiles italianos premium: cocina italiana, cenas especiales."
cn_denny_s,Denny's,american_casual_chain,casual_dining,,Internacional,casual,Zona 10,"fast_service=9
quick_meal=9
casual=8
comfort_food=8
family_friendly=8
social_grupo=7
lively=5",fastservice | quickmeal | comfortfood | familyfriendly | casual | socialgrupo,Diner americano abierto 24 horas.,,100.0,"Denny's destacaria por: fast service, quick meal, comfort food."
cn_diaca,Diaca,fusion_premium,premium_fine,,Fusion,fine,Zona 10,"gourmet=9
premium=9
trendy=9
aesthetic=8
aventurero=8
pref_guatemalteca=8
social_grupo=8
elegant=7
slow_food=7
romantic=6
comfort_food=5
lively=5",gourmet | trendy | premium | aventurero | aesthetic | socialgrupo,Cocina contemporanea con identidad guatemalteca y toques globales.,,100.0,"Diaca encaja con perfiles exploradores/trendy: fusion, social, aventura."
cn_domino_s_pizza,Domino's Pizza,fast_food,fast_food,,Internacional,economico,"Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5","comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=8
social_grupo=6
lively=5",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Pizza a domicilio y local de cadena internacional. Disponible en: Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5.",,100.0,"Domino's Pizza encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet."
cn_dumbo,Dumbo,fusion_premium,casual_dining,,Internacional,premium,Zona 10,"aventurero=9
gourmet=9
trendy=9
aesthetic=8
casual=8
social_grupo=8
comfort_food=7
premium=7
lively=6",gourmet | trendy | aventurero | aesthetic | socialgrupo | casual,Propuesta internacional con ambiente relajado y moderno.,,100.0,"Dumbo encaja con perfiles exploradores/trendy: fusion, social, aventura."
cn_dunkin,Dunkin,cafe_brunch,cafe_brunch,,Cafe,economico,"Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5","coffee_culture=10
fast_service=9
quick_meal=9
brunch=8
casual=8
comfort_food=8
aesthetic=7
family_friendly=7
saludable=6
social_grupo=5",coffee | quickmeal | fastservice | brunch | casual | comfortfood,"Cafe y donas de cadena internacional. Disponible en: Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5.",,100.0,"Dunkin encaja con perfiles cafe/brunch: coffee culture, ambiente casual."
cn_el_adobe,El Adobe,guatemalteca_signature,casual_dining,,Guatemalteca,premium,Zona 10,"pref_guatemalteca=10
comfort_food=9
family_friendly=8
gourmet=8
premium=8
slow_food=7
social_grupo=7
elegant=6
lively=6
romantic=5",guatemalteca | comfortfood | premium | gourmet | familyfriendly | slowfood,Sabores guatemaltecos en ambiente rustico y acogedor.,,100.0,"El Adobe destacaria por: pref guatemalteca, comfort food, premium."
cn_el_arte_steak_house,El Arte Steak House,steakhouse_premium,steakhouse_premium,,Steakhouse,fine,Zona 10,"gourmet=9
premium=9
business_dining=8
contundente=8
elegant=8
social_grupo=6
wine_focus=6
comfort_food=5
lively=5
romantic=5",premium | gourmet | businessdining | contundente | elegant | winefocus,Steakhouse con cortes selectos y servicio formal.,,100.0,"El Arte Steak House destacaria por: premium, gourmet, business dining."
cn_el_invernadero,El Invernadero,healthy_casual,healthy_casual,,Saludable,casual,Zona 10,"saludable=10
brunch=9
trendy=9
aesthetic=8
casual=8
fast_service=8
aventurero=7
comfort_food=6
social_grupo=6
lively=5",saludable | trendy | brunch | fastservice | casual | aesthetic,Cocina vegetal y organica en ambiente luminoso.,,100.0,"El Invernadero destacaria por: saludable, trendy, brunch."
cn_eskimo,Eskimo,cafe_brunch,cafe_brunch,,Cafe,economico,"Zona 10, Zona 5","coffee_culture=10
brunch=8
casual=8
comfort_food=8
family_friendly=8
aesthetic=7
slow_food=7
social_grupo=7
lively=6
saludable=6",coffee | brunch | casual | comfortfood | familyfriendly | aesthetic,"Helados Eskimo, tradicion guatemalteca. Disponible en: Zona 10, Zona 5.",,100.0,"Eskimo encaja con perfiles cafe/brunch: coffee culture, ambiente casual."
cn_estacion_santo_domingo,Estacion Santo Domingo,fusion_premium,casual_dining,,Internacional,premium,Zona 10,"gourmet=9
trendy=9
aesthetic=8
aventurero=8
elegant=8
premium=8
romantic=8
social_grupo=8
wine_focus=8
intimate=7
slow_food=7
comfort_food=6
lively=5",gourmet | trendy | aventurero | aesthetic | socialgrupo | premium,Bistro internacional en entorno historico y elegante.,,100.0,"Estacion Santo Domingo encaja con perfiles exploradores/trendy: fusion, social, aventura."
cn_fiore_pasta_bar,Fiore Pasta Bar,italian_casual,italian_casual,,Italiana,casual,Zona 10,"pref_italiana=10
trendy=9
aesthetic=8
casual=8
family_friendly=8
social_grupo=8
comfort_food=7
fast_service=7
aventurero=6
lively=6
premium=4",italiana | trendy | casual | familyfriendly | socialgrupo | aesthetic,Pastas frescas en barra abierta.,,100.0,"Fiore Pasta Bar destacaria por: pref italiana, trendy, casual."
cn_fiorellino,Fiorellino,italian_casual,italian_premium,,Italiana,casual,Zona 10,"pref_italiana=10
casual=8
comfort_food=8
family_friendly=8
fast_service=7
social_grupo=6
lively=5
romantic=5",italiana | casual | familyfriendly | comfortfood | fastservice | socialgrupo,Pastas y pizzas en ambiente acogedor.,,100.0,"Fiorellino destacaria por: pref italiana, casual, family friendly."
cn_frida_kahlo,Frida Kahlo,mexican_signature,casual_dining,,Mexicana,premium,Zona 14,"pref_mexicana=10
trendy=9
aesthetic=8
lively=8
social_grupo=8
aventurero=7
comfort_food=7
premium=7
nightlife=6
romantic=5",mexicana | trendy | lively | aesthetic | socialgrupo | premium,Sabores mexicanos autenticos con diseno vibrante.,https://www.fridakahlo.com.gt/,100.0,"Frida Kahlo destacaria por: pref mexicana, trendy, lively."
cn_gracia_cocina_de_autor,Gracia Cocina de Autor,premium_fine,premium_fine,,Fusion,fine,Zona 10,"gourmet=10
premium=10
exclusive=9
pref_guatemalteca=9
aventurero=8
elegant=8
comfort_food=7
romantic=7
slow_food=7
trendy=7
wine_focus=7
social_grupo=5",premium | gourmet | exclusive | guatemalteca | elegant | aventurero,Alta cocina guatemalteca con tecnicas modernas y producto local.,https://www.gracia.gt/,100.0,"Gracia Cocina de Autor destacaria por: premium, gourmet, exclusive."
cn_gramo,Gramo,fusion_premium,casual_dining,,Internacional,premium,Zona 10,"aventurero=9
gourmet=9
trendy=9
aesthetic=8
casual=8
social_grupo=8
premium=7
comfort_food=6
lively=6",gourmet | trendy | aventurero | aesthetic | socialgrupo | casual,Bistro contemporaneo con platos de autor accesibles.,,100.0,"Gramo encaja con perfiles exploradores/trendy: fusion, social, aventura."
cn_gusta,Gusta,healthy_casual,healthy_casual,,Saludable,casual,Zona 10,"saludable=10
brunch=9
fast_service=9
quick_meal=9
aesthetic=8
casual=8
comfort_food=6
aventurero=5
social_grupo=5",saludable | fastservice | brunch | quickmeal | casual | aesthetic,Opciones saludables y bowls frescos.,,100.0,"Gusta destacaria por: saludable, fast service, brunch."
cn_hacienda_real,Hacienda Real,steakhouse_premium,steakhouse_premium,,Steakhouse,fine,"Zona 10, Zona 14, Zona 16, Zona 11","business_dining=9
gourmet=9
premium=9
contundente=8
comfort_food=7
slow_food=7
social_grupo=7
elegant=6
lively=6
wine_focus=6
romantic=5",premium | gourmet | businessdining | contundente | slowfood | comfortfood,"Parrilla guatemalteca iconica con cortes premium y arquitectura latinoamericana. Disponible en: Zona 10, Zona 14, Zona 16, Zona 11.",https://www.haciendareal.com.gt/,100.0,"Hacienda Real destacaria por: premium, gourmet, business dining."
cn_hard_rock_cafe,Hard Rock Cafe,nightlife_social,nightlife_social,,Internacional,premium,Zona 10,"nightlife=9
social_grupo=9
comfort_food=8
lively=8
casual=7
craft_beer=7
trendy=7
premium=6
aventurero=5",nightlife | socialgrupo | lively | comfortfood | craftbeer | trendy,Cadena iconica con musica en vivo y burgers.,https://www.hardrockcafe.com/location/guatemala-city/,100.0,"Hard Rock Cafe destacaria por: nightlife, social grupo, lively."
cn_hibachi,Hibachi,japanese_premium,casual_dining,,Japonesa,premium,Zona 10,"pref_japonesa=10
premium=9
business_dining=8
gourmet=8
social_grupo=8
elegant=7
lively=7
aventurero=6
comfort_food=5
romantic=5
trendy=5",japonesa | premium | gourmet | businessdining | socialgrupo | elegant,Plancha japonesa y show culinario en ambiente sofisticado.,,100.0,"Hibachi destacaria por: pref japonesa, premium, gourmet."
cn_ihop,IHOP,cafe_brunch,casual_dining,,Internacional,casual,"Zona 10, Zona 14","coffee_culture=10
brunch=9
casual=8
comfort_food=8
family_friendly=8
aesthetic=7
social_grupo=7
lively=6
saludable=6",coffee | brunch | casual | familyfriendly | comfortfood | aesthetic,"Desayunos y pancakes todo el dia. Disponible en: Zona 10, Zona 14.",,100.0,"IHOP encaja con perfiles cafe/brunch: coffee culture, ambiente casual."
cn_il_forno,Il Forno,italian_casual,italian_casual,,Italiana,casual,Zona 10,"pref_italiana=10
casual=8
comfort_food=8
family_friendly=8
fast_service=7
slow_food=7
social_grupo=7
lively=6",italiana | casual | familyfriendly | comfortfood | fastservice | slowfood,Pizza al horno de lena y pastas caseras.,,100.0,"Il Forno destacaria por: pref italiana, casual, family friendly."
cn_isabelle,Isabelle,french_bistro,casual_dining,,Francesa,premium,Zona 10,"gourmet=9
elegant=8
premium=8
romantic=8
wine_focus=8
intimate=7
slow_food=7
comfort_food=6
aventurero=5
social_grupo=5",gourmet | elegant | winefocus | romantic | premium | slowfood,Bistro frances con postres y vinos selectos.,,100.0,"Isabelle destacaria por: gourmet, elegant, wine focus."
cn_jake_s,Jake's,nightlife_social,nightlife_social,,Internacional,premium,Zona 10,"nightlife=9
social_grupo=9
trendy=9
craft_beer=8
lively=8
aventurero=7
gourmet=7
premium=6
comfort_food=5",nightlife | socialgrupo | trendy | lively | craftbeer | gourmet,Gastrobar con cocteleria y platos para compartir.,,100.0,"Jake's destacaria por: nightlife, social grupo, trendy."
cn_kacao,Kacao,guatemalteca_signature,casual_dining,,Guatemalteca,premium,Zona 10,"pref_guatemalteca=10
gourmet=9
comfort_food=8
family_friendly=8
premium=8
slow_food=7
social_grupo=7
aventurero=6
elegant=6
lively=6
romantic=6
trendy=5",guatemalteca | gourmet | premium | comfortfood | familyfriendly | slowfood,Alta cocina guatemalteca con ingredientes locales y presentacion contemporanea.,https://www.kacao.com.gt/,100.0,"Kacao destacaria por: pref guatemalteca, gourmet, premium."
cn_kaffeine,Kaffeine,cafe_brunch,cafe_brunch,,Cafe,casual,Zona 15,"coffee_culture=10
brunch=9
aesthetic=8
casual=8
comfort_food=8
social_grupo=8
aventurero=7
lively=6
saludable=6
trendy=6
premium=4",coffee | brunch | aesthetic | casual | socialgrupo | comfortfood,"Cafe de especialidad, reposteria y brunch todo el dia.",https://www.kaffeine.com.gt/,100.0,"Kaffeine encaja con perfiles cafe/brunch: coffee culture, ambiente casual."
cn_kfc,KFC,fast_food,fast_food,,Internacional,economico,"Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5","comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=8
social_grupo=7
lively=6",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Pollo frito de cadena internacional. Disponible en: Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5.",,100.0,"KFC encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet."
cn_l_oliveto,L'Oliveto,italian_premium,italian_premium,,Italiana,premium,Zona 10,"pref_italiana=10
romantic=8
slow_food=8
wine_focus=8
business_dining=7
comfort_food=7
intimate=7
premium=7
elegant=6
social_grupo=5",italiana | slowfood | winefocus | romantic | businessdining | premium,Cocina italiana tradicional con aceite de oliva y pastas frescas.,,100.0,"L'Oliveto encaja con perfiles italianos premium: cocina italiana, cenas especiales."
cn_la_estancia,La Estancia,steakhouse_premium,steakhouse_premium,,Steakhouse,premium,Zona 10,"premium=9
business_dining=8
contundente=8
elegant=8
gourmet=8
comfort_food=7
slow_food=7
social_grupo=6
wine_focus=6
lively=5
romantic=5",premium | gourmet | businessdining | contundente | elegant | slowfood,Cortes selectos y ambiente clasico para ocasiones especiales.,,100.0,"La Estancia destacaria por: premium, gourmet, business dining."
cn_la_finka,La Finka,guatemalteca_signature,casual_dining,,Guatemalteca,premium,Zona 10,"pref_guatemalteca=10
trendy=9
casual=8
comfort_food=8
gourmet=8
premium=8
family_friendly=7
slow_food=7
social_grupo=7
aventurero=6
elegant=6
lively=6",guatemalteca | trendy | premium | gourmet | comfortfood | casual,Cocina guatemalteca contemporanea en ambiente urbano.,,100.0,"La Finka destacaria por: pref guatemalteca, trendy, premium."
cn_la_pampa,La Pampa,steakhouse_premium,steakhouse_premium,,Steakhouse,premium,Zona 10,"gourmet=9
premium=9
business_dining=8
contundente=8
social_grupo=8
comfort_food=7
slow_food=7
elegant=6
lively=6
wine_focus=6",premium | gourmet | businessdining | contundente | socialgrupo | slowfood,Parrilla argentina con cortes y empanadas.,,100.0,"La Pampa destacaria por: premium, gourmet, business dining."
cn_la_veinte,La Veinte,mexican_signature,casual_dining,,Mexicana,premium,Zona 10,"pref_mexicana=10
trendy=9
lively=8
nightlife=8
social_grupo=8
aesthetic=7
premium=7
aventurero=6
comfort_food=6",mexicana | trendy | lively | socialgrupo | nightlife | aesthetic,Cocina mexicana contemporanea con ambiente festivo.,,100.0,"La Veinte destacaria por: pref mexicana, trendy, lively."
cn_le_crepe,Le Crepe,cafe_brunch,casual_dining,,Francesa,casual,"Zona 10, Zona 16","coffee_culture=10
brunch=9
aesthetic=8
casual=8
comfort_food=8
intimate=7
saludable=6
aventurero=5
romantic=5
social_grupo=5",coffee | brunch | aesthetic | casual | comfortfood | intimate,"Crepes dulces y salados en ambiente parisino. Disponible en: Zona 10, Zona 16.",,100.0,"Le Crepe encaja con perfiles cafe/brunch: coffee culture, ambiente casual."
cn_little_caesars,Little Caesars,fast_food,fast_food,fast_food,Internacional,economico,"Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5","comida_rapida=10
fast_food=10
fast_service=10
quick_meal=10
casual=9
comfort_food=8
family_friendly=8
social_grupo=6
lively=5",fastfood | quickmeal | americana | fastservice | casual | comfortfood,"Pizza rapida de cadena internacional. Disponible en: Zona 10, Zona 14, Zona 15, Zona 16, Zona 11, Zona 5.",,100.0,"Little Caesars encaja con perfiles fast food/casual: comida rapida, comfort food, sin premium ni gourmet."
cn_los_cebollines,Los Cebollines,mexican_casual_chain,casual_dining,,Mexicana,economico,"Zona 14, Zona 15, Zona 16, Zona 11, Zona 5","pref_mexicana=10
fast_service=9
quick_meal=9
casual=8
comfort_food=8
family_friendly=8
social_grupo=7
lively=6",mexicana | fastservice | quickmeal | familyfriendly | comfortfood | casual,"Cadena mexicana guatemalteca con tacos, burritos y ambiente familiar. Disponible en: Zona 14, Zona 15, Zona 16, Zona 11, Zona 5.",,100.0,"Los Cebollines destacaria por: pref mexicana, fast service, quick meal."
cn_los_tres_tiempos,Los Tres Tiempos,guatemalteca_signature,casual_dining,,Guatemalteca,premium,Zona 14,"pref_guatemalteca=10
comfort_food=8
family_friendly=8
gourmet=8
premium=8
slow_food=7
social_grupo=7
elegant=6
lively=6
aventurero=5
romantic=5",guatemalteca | premium | gourmet | comfortfood | familyfriendly | slowfood,Recetas guatemaltecas con enfoque moderno y porciones generosas.,https://www.lostrestiempos.com/,100.0,"Los Tres Tiempos destacaria por: pref guatemalteca, premium, gourmet."
cn_mansion_del_rio,Mansión del Río,premium_fine,premium_fine,,Internacional,fine,Zona 10,"gourmet=9
premium=9
business_dining=8
elegant=8
exclusive=8
romantic=8
intimate=7
wine_focus=7
aventurero=5
comfort_food=5
social_grupo=5",premium | gourmet | exclusive | elegant | romantic | businessdining,Restaurante de hotel con vista y cocina internacional.,,100.0,"Mansión del Río destacaria por: premium, gourmet, exclusive."
cn_mantarraya,Mantarraya,mediterranean_premium,casual_dining,,Mariscos,premium,Zona 10,"pref_mediterranea=10
gourmet=9
elegant=8
premium=8
romantic=8
saludable=8
intimate=7
slow_food=7
social_grupo=6
aventurero=5
comfort_food=5
lively=5",prefmediterranea | gourmet | saludable | premium | elegant | romantic,Mariscos frescos y ceviches en ambiente sofisticado.,,100.0,"Mantarraya destacaria por: pref mediterranea, gourmet, saludable."
cn_marena,Marena,mediterranean_premium,premium_fine,,Mediterranea,fine,Zona 14,"pref_mediterranea=10
premium=9
saludable=9
elegant=8
gourmet=8
romantic=7
slow_food=7
aventurero=6
comfort_food=6
social_grupo=6
lively=5
trendy=5",prefmediterranea | saludable | premium | gourmet | elegant | slowfood,"Pescados, aceite de oliva y vegetales de temporada.",https://www.marena.gt/,100.0,"Marena destacaria por: pref mediterranea, saludable, premium."
